FACID,YR,LAT,LON,LLDESC,LLSRC,RDATUM,CDATE
86328,2024,41.240110,95.974950,east drive from Frances St,GOOGLE,84,2020-12-14
86331,2024,40.812278,96.779920,approximate location of tower,DIG-DOQ,83,2014-05-15
86365,2024,41.454020,96.534461,drive,DIG-DOQ,83,2008-05-21
86367,2024,41.422650,96.492420,drive,DIG-DOQ,83,2011-05-16
86368,2024,41.158530,96.123570,,ADDMAT,83,2009-02-06
86373,2024,40.484200,96.545900,in parking lot entrance (west of RR tracks),GPS-WAAS,83,2009-05-07
86386,2024,41.294084,96.116256,parking lot,GOOGLE,84,2025-03-05
86403,2024,41.203620,96.253580,approximate location of drive,DIG-DOQ,83,2009-02-23
86405,2024,41.160175,96.125966,building,GOOGLE,84,2025-03-05
86416,2024,42.518990,98.959580,parking lot west of facility offices,GPS-WAAS,83,2009-06-02
86633,2024,42.335421,98.252511,drive,DIG-DOQ,83,2015-10-05
86673,2024,41.886638,96.468976,drive,DIG-DOQ,84,2015-02-18
86751,2024,40.287200,96.763916,"entrance gate, east side",GPS-WAAS,83,2009-05-07
86761,2024,41.156170,96.127490,"parking lot, north of entrance",GPS-WAAS,83,2011-03-29
86850,2024,40.903540,96.543980,entrance,UNKNOWN,83,2013-07-03
86865,2024,41.159810,96.122580,parking lot in front of main entr on W side bldg,GPS-WAAS,83,2014-12-11
86905,2024,41.409290,97.802780,approximate location,DIG-DOQ,83,2009-02-26
86954,2024,40.802362,96.727646,drive,GOOGLE,84,2017-02-01
86957,2024,40.751230,96.637920,30 feet east of main entrance near fire hydrant,GPS-WAAS,83,2018-11-02
86959,2024,41.265700,96.190860,west of building in parking lot near main entrance,GPS-WAAS,83,2010-04-29
86963,2024,40.016460,96.896790,drive,DIG-DOQ,83,2015-11-17
86989,2024,42.002934,97.613856,water well,UNKNOWN,,2008-10-29
87071,2024,40.869700,98.053000,"south dr to fuel(W),south dr to dry fertilizer(E)",DIG-DOQ,84,2015-04-29
87072,2024,40.868580,98.047470,gate to facility,GPS-WAAS,83,2009-06-26
87203,2024,41.145230,96.155760,Quarter Quarter Section Centroid,LEGAL,83,2008-06-25
87319,2024,40.978863,95.932852,Quarter Quarter Section Centroid,LEGAL,83,2008-07-24
87343,2024,40.811360,96.766293,north drive,GOOGLE,84,2023-03-02
87350,2024,41.159284,96.127301,south drive,GOOGLE,84,2018-03-02
87369,2024,41.220249,96.146919,drive,GOOGLE,84,2024-03-22
87386,2024,41.177960,97.555270,propane tank,DIG-DOQ,83,2013-02-06
87389,2024,40.852696,96.739449,south drive to parking lot,DIG-DOQ,84,2015-01-27
87390,2024,40.795210,96.749040,drive,GOOGLE,84,2020-02-04
87401,2024,40.184532,101.239586,Section Centroid,LEGAL,83,2009-02-06
87406,2024,40.888537,97.602639,drive,DIG-DOQ,84,2014-12-08
87454,2024,40.727151,99.751848,Quarter Quarter Section Centroid,LEGAL,83,2008-06-20
87464,2024,41.645260,103.076870,"Along Hwy 385, NE Side of Plant",GPS-WAAS,83,2021-01-26
87514,2024,41.264529,96.105218,parking lot,GOOGLE,84,2024-03-22
87639,2024,40.814858,96.419591,Quarter Quarter Section Centroid,LEGAL,83,2008-08-01
87640,2024,41.335520,96.132530,drive,DIG-DOQ,83,2009-01-29
87641,2024,41.310190,95.927760,drive,DIG-DOQ,83,2009-01-29
87642,2024,41.315552,96.179869,Quarter Quarter Section Centroid,LEGAL,83,2009-01-29
87643,2024,40.582633,96.966466,site,DIG-DOQ,83,2012-10-22
87874,2024,40.773782,99.746658,Quarter Quarter Section Centroid,LEGAL,83,2008-06-20
87878,2024,40.879563,97.807131,south drive,GOOGLE,84,2021-09-10
87879,2024,41.175859,103.642406,Quarter Quarter Section Centroid,LEGAL,83,2009-01-13
87880,2024,41.821750,103.645860,Section Centroid,LEGAL,83,2009-01-15
87905,2024,42.003955,97.387595,drive,GOOGLE,84,2022-01-27
88117,2024,42.078294,97.356955,Quarter Quarter Section Centroid,LEGAL,83,2008-11-26
88236,2024,41.025744,97.997858,drive,DIG-DOQ,84,2014-12-08
88338,2024,41.481704,96.309619,fertilizer facility entrance 7098 County Rd 15,DIG-DOQ,84,2015-04-14
